id,unicode,X,Y,population,travellers,visitors
728,1728,9909,4465,18,2,16
729,1729,9915,4454,952,405,547
730,1730,9924,4453,577,235,342
731,1731,9908,4456,291,144,147
732,1732,9904,4461,28,9,19
733,1733,9936,4440,46,8,38
734,1734,9914,4433,505,196,309
735,1735,9918,4433,468,228,240
736,1736,9916,4437,2423,1253,1170
737,1737,9910,4436,215,38,177
738,1738,9927,4463,14,2,12
739,1739,9921,4461,330,116,214
740,1740,9939,4441,99,26,73
741,1741,9924,4464,70,24,46
742,1742,9926,4467,41,11,30
743,1743,9935,4439,190,74,116
744,1744,9919,4429,503,215,288
745,1745,9921,4420,3,0,3
746,1746,9918,4429,300,153,147
747,1747,9911,4445,334,62,272
748,1748,9915,4455,1346,663,683
749,1749,9918,4443,175,16,159
750,1750,9936,4443,845,469,376
751,1751,9948,4437,43,19,24
752,1752,9933,4438,1076,499,577
