id,unicode,X,Y,population,travellers,visitors
584,1591,12666,2344,31,12,19
585,1592,12675,2315,42,1,41
586,1593,12687,2326,330,49,281
587,1594,12668,2338,487,200,287
588,1595,12670,2337,677,320,357
589,1596,12672,2337,1249,665,584
590,1597,12676,2315,49,1,48
591,1598,12686,2324,267,64,203
592,1599,12688,2332,842,284,558
593,1600,12694,2332,1516,861,655
594,1601,12688,2323,835,194,641
595,1602,12676,2312,64,5,59
596,1603,12693,2340,94,34,60
597,1605,12705,2339,78,30,48
598,1606,12704,2339,60,24,36
599,1607,12689,2323,165,28,137
600,1608,12689,2333,478,153,325
601,1609,12705,2336,382,214,168
602,1610,12726,2325,25,17,8
603,1611,12696,2332,351,94,257
604,1612,12691,2338,1214,506,708
605,1613,12695,2335,1132,535,597
606,1614,12707,2336,142,70,72
607,1615,12708,2336,340,153,187
608,1616,12693,2332,2468,1238,1230
609,1617,12693,2334,111,36,75
610,1618,12693,2333,119,43,76
611,1619,12692,2338,604,364,240
612,1620,12692,2337,686,398,288
613,1621,12691,2337,173,59,114
614,1622,12674,2337,107,40,67
615,1623,12676,2336,17,8,9
616,1624,12677,2336,117,59,58
617,1625,12680,2338,74,42,32
618,1626,12691,2339,491,174,317
619,1627,12695,2332,587,257,330
620,1628,12696,2335,233,89,144
621,1629,12695,2336,1937,1015,922
622,1630,12696,2337,741,359,382
623,1631,12691,2332,1395,636,759
624,1632,12693,2339,183,93,90
625,1633,12692,2339,760,308,452
626,1634,12693,2338,151,69,82
627,1635,12696,2339,155,52,103
628,1636,12699,2337,348,161,187
629,1637,12703,2338,48,25,23
630,1638,12695,2330,1710,611,1099
631,1639,12694,2330,4765,2505,2260
632,1640,12686,2332,174,106,68
633,1641,12690,2337,83,20,63
634,1642,12695,2339,55,20,35
635,1643,12700,2337,173,71,102
636,1644,12698,2335,243,118,125
637,1645,12681,2340,23,10,13
638,1646,12682,2340,28,9,19
639,1647,12684,2341,20,7,13
640,1648,12702,2334,499,246,253
641,1649,12698,2337,230,129,101
642,1650,12690,2338,334,120,214
643,1651,12693,2336,312,168,144
644,1652,12692,2336,138,67,71
645,1653,12693,2337,205,110,95
646,1654,12696,2333,194,78,116
647,1655,12693,2335,209,87,122
648,1656,12696,2338,151,76,75
649,1657,12697,2341,37,23,14
650,1658,12668,2345,30,16,14
651,1659,12698,2315,74,11,63
652,1660,12687,2322,62,32,30
653,1661,12727,2333,220,96,124
654,1662,12717,2333,278,84,194
655,1663,12677,2331,265,96,169
656,1664,12669,2326,48,4,44
657,1665,12675,2340,57,24,33
658,1666,12714,2330,426,204,222
659,1667,12685,2334,86,21,65
660,1668,12699,2329,681,228,453
661,1669,12691,2329,2997,1407,1590
662,1670,12706,2332,316,95,221
663,1671,12693,2315,109,35,74
664,1672,12671,2323,194,46,148
665,1673,12671,2326,123,58,65
666,1674,12669,2332,269,111,158
667,1675,12668,2332,211,90,121
668,1676,12679,2323,628,203,425
669,1677,12697,2331,235,27,208
670,1678,12709,2330,22,5,17
671,1679,12672,2329,80,10,70
672,1680,12691,2328,774,248,526
673,1681,12670,2327,81,36,45
674,1682,12676,2325,157,46,111
675,1683,12697,2325,646,124,522
676,1684,12708,2330,34,1,33
677,1685,12691,2323,273,75,198
678,1686,12678,2343,140,48,92
679,1687,12679,2335,98,47,51
680,1688,12718,2321,216,48,168
681,1689,12713,2331,356,123,233
682,1690,12712,2328,304,162,142
683,1691,12715,2320,512,149,363
684,1692,12679,2329,18,5,13
685,1693,12679,2330,99,13,86
686,1694,12668,2334,133,40,93
687,1695,12690,2328,419,64,355
688,1696,12701,2330,152,30,122
689,1697,12705,2329,5,2,3
690,1698,12709,2325,97,13,84
691,1699,12670,2340,72,21,51
692,1700,12669,2346,10,3,7
693,1701,12668,2336,143,61,82
694,1702,12681,2326,183,37,146
695,1703,12666,2334,110,21,89
696,1704,12706,2336,163,108,55
697,1705,12681,2332,263,121,142
698,1706,12690,2332,1683,807,876
699,1707,12678,2332,100,39,61
700,1708,12667,2335,59,8,51
701,1709,12672,2321,14,2,12
702,1710,12672,2332,51,19,32
703,1711,12713,2332,140,57,83
704,1713,12675,2313,62,8,54
705,1714,12736,2326,23,9,14
706,1715,12707,2318,558,130,428
707,1716,12691,2324,193,23,170
708,1717,12695,2327,1765,683,1082
709,1718,12723,2334,113,24,89
710,1719,12696,2341,2,1,1
711,1720,12701,2337,203,108,95
712,1721,12702,2337,37,20,17
713,1724,12692,2340,7,2,5
714,1725,12705,2330,32,8,24
715,1726,12687,2337,30,15,15
716,1727,12688,2338,73,23,50
717,1728,12689,2338,105,41,64
718,1729,12714,2336,1247,568,679
719,1730,12713,2337,510,230,280
720,1731,12698,2336,238,103,135
721,1732,12705,2331,177,55,122
722,1733,12701,2333,72,33,39
723,1734,12706,2333,165,79,86
724,1735,12704,2333,510,290,220
725,1736,12704,2335,257,122,135
726,1737,12705,2335,175,83,92
727,1739,12736,2328,26,13,13
728,1740,12732,2333,63,19,44
729,1741,12731,2333,65,17,48
730,1742,12725,2332,40,17,23
731,1743,12722,2331,48,12,36
732,1744,12712,2331,80,25,55
733,1745,12683,2339,28,17,11
734,1746,12671,2338,164,67,97
